"filename", "language", "JavaScript", "Properties", "CSS", "XML", "Markdown", "TypeScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\.env", "Properties", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 8214, 0, 0, 1, 8215
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\package.json", "JSON", 0, 0, 0, 0, 0, 0, 63, 0, 0, 1, 64
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\icons\default\icons.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\langs\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\license.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\models\dom\model.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\accordion\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\advlist\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
